geometry,address,lokasi,coords,m_lon,m_lat,state,district,parlimen,dun_x,label,Lokasi,dun_y,h_lat,h_lon,distance,status
POINT (100.32277 5.409320000000037),"Kampung Makam, George Town, Timur Laut, Pulau Pinang",Kampung Makam Haji Kassim,"100.32277, 5.409320000000037",100.32277,5.40932,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.531,FALSE
POINT (100.3140300000001 5.404410000000041),"Kampung Dodol, George Town, Timur Laut, Pulau Pinang",Kampung Dodol,"100.3140300000001, 5.404410000000041",100.31403,5.40441,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.034,FALSE
POINT (100.31539 5.406510000000026),Masjid Jamek Hashim Yahaya,Kampung Masjid Hashim Yahya,"100.31539, 5.406510000000026",100.31539,5.40651,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.908,FALSE
POINT (100.3140734163665 5.409581694947581),"Jalan P. Ramlee, Taman Seri Kijang, George Town, Timur Laut, 10460, Pulau Pinang",Jalan P.Ramlee,"100.3140734163665, 5.409581694947581",100.3140734,5.409581695,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.169,FALSE
POINT (100.3147515070017 5.410768050340871),"Lilitan Stadium, George Town, Timur Laut, 10350, Pulau Pinang",Lilitan Stadium (Astaka Makan),"100.3147515070017, 5.410768050340871",100.3147515,5.41076805,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.175,FALSE
POINT (100.3131674194301 5.412475710169735),"Lorong Kulit, George Town, Timur Laut, 10350, Pulau Pinang",Lorong Kulit,"100.3131674194301, 5.412475710169735",100.3131674,5.41247571,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.43,FALSE
POINT (100.3216351972366 5.410863519774855),"Lorong Singgora, Kampung Makam, George Town, Timur Laut, 10150, Pulau Pinang",Jalan Singgora,"100.3216351972366, 5.410863519774855",100.3216352,5.41086352,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.724,FALSE
POINT (100.3204778597989 5.412485196052684),"Jalan Dato Keramat, George Town, Timur Laut, 10150, Pulau Pinang",Jalan Dato Keramat,"100.3204778597989, 5.412485196052684",100.3204779,5.412485196,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.935,FALSE
POINT (100.3197500000001 5.408110000000022),"Kampung Rawa, Jelutong, Timur Laut, Pulau Pinang",Lintang Kg. Rawa,"100.3197500000001, 5.408110000000022",100.31975,5.40811,Pulau Pinang,Timur Laut,P.050 Jelutong,N.30 Sungai Pinang,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.56,TRUE
POINT (100.3064536446093 5.41471332329523),"Jalan York, Dhoby Ghaut, George Town, Timur Laut, 10450, Pulau Pinang",Jalan York (Doby Ghaut),"100.3064536446093, 5.41471332329523",100.3064536,5.414713323,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.011,FALSE
POINT (100.3123884303507 5.409889428104374),"Lintang P. Ramlee, George Town, Timur Laut, 10350, Pulau Pinang",Lintang P.Ramlee,"100.3123884303507, 5.409889428104374",100.3123884,5.409889428,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.351,FALSE
POINT (100.3102969207417 5.410886632235363),"Jalan Langkawi, Taman Rampas, George Town, Timur Laut, 10460, Pulau Pinang",Jalan Langkawi,"100.3102969207417, 5.410886632235363",100.3102969,5.410886632,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.204,FALSE
POINT (100.3227558254253 5.409867119912986),"Jalan Patani, Kampung Makam, George Town, Timur Laut, 10150, Pulau Pinang",Jalan Patani (Blkg IPD DTL),"100.3227558254253, 5.409867119912986",100.3227558,5.40986712,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.591,FALSE
POINT (100.3140734163665 5.409581694947581),"Jalan P. Ramlee, Taman Seri Kijang, George Town, Timur Laut, 10460, Pulau Pinang",Jalan P. Ramlee,"100.3140734163665, 5.409581694947581",100.3140734,5.409581695,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.169,FALSE
POINT (100.3040897604208 5.416321686932361),"Jalan Piggot, George Town, Timur Laut, 10350, Pulau Pinang",Jalan Piggot,"100.3040897604208, 5.416321686932361",100.3040898,5.416321687,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,0.985,FALSE
POINT (100.3121343844158 5.417161708189334),"Jalan Hospital, George Town, Timur Laut, 10350, Pulau Pinang",Jalan Hospital Pulau Pinang (Pintu B),"100.3121343844158, 5.417161708189334",100.3121344,5.417161708,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.25 Pulau Tikus,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.675,TRUE
POINT (100.3040334261174 5.429587057125282),"Lebuhraya Rose, Pulau Tikus, George Town, Timur Laut, 10350, Pulau Pinang",Jalan Rose,"100.3040334261174, 5.429587057125282",100.3040334,5.429587057,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.25 Pulau Tikus,hotspot,"S.M.J.K PEREMPUAN CHINA, BAGAN JEMAL",N.25 Pulau Tikus,5.432438222,100.3019036,0.395,TRUE
POINT (100.3029100000001 5.415850000000034),"Taman Scotland, George Town, Timur Laut, Pulau Pinang",Taman Scotland,"100.3029100000001, 5.415850000000034",100.30291,5.41585,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,0.879,FALSE
POINT (100.3080800000001 5.416710000000023),Seri Mutiara,Seri Mutiara (Kediaman TYT),"100.3080800000001, 5.416710000000023",100.30808,5.41671,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.294,FALSE
POINT (100.2990500000001 5.409570000000031),"Taman Lumba Kuda, Air Hitam, Timur Laut, Pulau Pinang",Taman Lumba Kuda,"100.2990500000001, 5.409570000000031",100.29905,5.40957,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.24 Kebun Bunga,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,0.123,TRUE
POINT (100.2960678717513 5.408623983160481),"Jalan Goh Guan Ho, Taman Goh Chuan Ho, Air Hitam, Timur Laut, 11400, Pulau Pinang",Jalan Goh Guan Ho,"100.2960678717513, 5.408623983160481",100.2960679,5.408623983,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.23 Air Putih,hotspot,"SJK (C ) SHANG WU, JLN AYER ITAMKAMPUNG MELAYUFARLIM",N.24 Kebun Bunga,5.410759995,100.294001,0.33,FALSE
POINT (100.3096300551247 5.398490049596177),"Jalan Van Praagh & Solok Van Praagh, Taman Desa Green, Jelutong, Timur Laut, 11600, Pulau Pinang",Jalan Van Pragh & Solok Van Pragh,"100.3096300551247, 5.398490049596177",100.3096301,5.39849005,Pulau Pinang,Timur Laut,P.050 Jelutong,N.31 Batu Lancang,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.58,FALSE
POINT (100.3073750717134 5.397425044978704),"Lintang Hijau, Taman Green Lane, Jelutong, Timur Laut, 11600, Pulau Pinang",Jalan/Lorong Hijau,"100.3073750717134, 5.397425044978704",100.3073751,5.397425045,Pulau Pinang,Timur Laut,P.050 Jelutong,N.31 Batu Lancang,hotspot,"S.K. ST. XAVIER, JALAN MASJID NEGERIKAMPUNG BARU, AYER ITAM",N.24 Kebun Bunga,5.408645491,100.2996521,1.512,FALSE
POINT (100.2941186122049 5.34896161183825),"Jalan Kampung Madrasah, Taman Pekaka, Gelugor, Timur Laut, 11700, Pulau Pinang",Kampung Madrasah,"100.2941186122049, 5.34896161183825",100.2941186,5.348961612,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SEKOLAH KEBANGSAAN SUNGAI NIBONG, SUNGAI NIBONG BESAR, SUNGAI NIBONG PANTAI",N.36 Pantai Jerejak,5.332312536,100.2953982,1.857,TRUE
POINT (100.3181086245702 5.389809170729512),"Jalan Pokok Asam, Jelutong, Timur Laut, 11600, Pulau Pinang",Pokok Asam,"100.3181086245702, 5.389809170729512",100.3181086,5.389809171,OUT_OF_BOUNDS,OUT_OF_BOUNDS,P.050 Jelutong,N.30 Sungai Pinang,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.743,TRUE
POINT (100.3140300000001 5.404410000000041),"Kampung Dodol, George Town, Timur Laut, Pulau Pinang",Kampung Dodol,"100.3140300000001, 5.404410000000041",100.31403,5.40441,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.034,FALSE
POINT (100.31539 5.406510000000026),Masjid Jamek Hashim Yahaya,Kampung Masjid Hashim Yahya,"100.31539, 5.406510000000026",100.31539,5.40651,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.908,FALSE
POINT (100.3140734163665 5.409581694947581),"Jalan P. Ramlee, Taman Seri Kijang, George Town, Timur Laut, 10460, Pulau Pinang",Jalan P Ramlee,"100.3140734163665, 5.409581694947581",100.3140734,5.409581695,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.169,FALSE
