area_type,dun,max_elevation,watercover,state,parlimen,population_total,sex_male,sex_female,housing_total,household_total
sla,N.01 Titi Tinggi,549.0,0.0055055182037295,Perlis,P.001 Padang Besar,18696,9865,8831,5325,4723
sla,N.02 Beseri,746.0,0.7184271183330849,Perlis,P.001 Padang Besar,18129,9100,9029,5093,4988
sla,N.03 Chuping,343.0,0.0106626978868286,Perlis,P.001 Padang Besar,24239,12615,11624,5991,6288
sla,N.04 Mata Ayer,153.0,0.0336529279193246,Perlis,P.001 Padang Besar,11883,6024,5859,2939,3274
sla,N.05 Santan,236.0,0.0262374821173104,Perlis,P.001 Padang Besar,13851,6883,6968,3678,4114
sla,N.06 Bintong,493.0,0.0268440790925029,Perlis,P.002 Kangar,28003,13809,14194,7229,7380
sla,N.07 Sena,34.0,0.2205392055978596,Perlis,P.002 Kangar,20321,10012,10309,6498,5773
sla,N.08 Indera Kayangan,99.0,0.0161749482401656,Perlis,P.002 Kangar,16419,8082,8337,5196,4806
sla,N.09 Kuala Perlis,321.0,0.5012019230769231,Perlis,P.002 Kangar,19880,9999,9881,5483,5594
sla,N.10 Kayang,198.0,0.1290945632030903,Perlis,P.002 Kangar,16132,7973,8159,4205,4443
sla,N.11 Pauh,216.0,0.013172566569037,Perlis,P.003 Arau,39618,19378,20240,7098,13970
sla,N.12 Tambun Tulang,34.0,0.5918988770720693,Perlis,P.003 Arau,20600,10208,10392,4915,5616
sla,N.13 Guar Sanji,32.0,0.577683615819209,Perlis,P.003 Arau,12171,6048,6123,3364,3202
sla,N.14 Simpang Empat,17.0,0.9256039043595948,Perlis,P.003 Arau,14694,7230,7464,3499,3904
sla,N.15 Sanglang,21.0,0.7949487422207004,Perlis,P.003 Arau,10249,5119,5130,2591,2775
sla,N.01 Ayer Hangat,871.0,0.1549634440202843,Kedah,P.004 Langkawi,44555,23295,21260,14652,11819
sla,N.02 Kuah,478.0,0.2527294675191129,Kedah,P.004 Langkawi,49583,25399,24184,18373,14164
sla,N.03 Kota Siputeh,304.0,0.4675685156095105,Kedah,P.005 Jerlun,32057,15875,16182,9229,8155
sla,N.04 Ayer Hitam,201.0,0.6262760578987464,Kedah,P.005 Jerlun,34029,16902,17127,10802,8437
